 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
10001010,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,2,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,2,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1
10001011,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,5,15,15,15,15,15,15,15,15
10001100,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,1
10001101,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
10001110,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
10001111,1,84,84,42,84,21,42,28,84,14,21,12,42,84,28,21,21,84,84,14,28,21,42,12,84,42,7,84,6,28,84,21,28,21,42,84,3,84,84,14,42,28,84,21,84,42,7,12,84,21,42,4,7,84,84,42,6,84,28,21,84,14,21,84,42,28,12,21,84,42,7,84,28,3,42,84,21,84,84,14,42,84,28,21,84,2,21,84,84,21,42,28,7,84,12,42,84,14,21,84,42,84,4,21,7,84,84,42,84,3,42,28,84,6,7,84,42,28,84,21,21,84,12,14,28,21,42,84,84,42,21,28,14,12,84,21,21,84,28,42,84,7,6,84,28,42,3,84,42,84,84,7,21,4,84,42,84,21,14,84,42,12,84,7,28,42,21,84,84,21,2,84,21,28,84,42,14,84,84,21,84,42,3,28,84,7,42,84,21,12,28,42,84,21,14,84,21,28,84,6,42,84,84,7,4,42,21,84,12,7,42,84,21,84,28,42,14,84,84,3,84,42,21,28,21,84,28,6,84,7,42,84,12,42,21,28,14,84,84,21,21,28,84,42,12,21,14,84,28,42,21,84,42,84,84,1
10010000,1,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,31,217,217,217,217,217,217,217,7,217,217,217,31,217,217,217,217,31,217,217,217,217,217,217,217,217,217,217,7,31,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,7,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,217,217,217,217,217,217,7,217,31,217,31,217,217,217,217,217,7,217,217,217,217,217,31,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217,217,217,31,217,217,7,217,217,217,217,217,217,217,217,31,217,217,217,217,217,31,217,217,217,217,217,217,7,217,217,217,217,31,217,217,217,217,217,217,217,217,31,217,217,217,31,217,217,217,217
10010001,1,60,60,60,60,30,60,60,60,60,60,30,60,60,15,60,60,4,60,15,60,60,30,60,30,60,60,60,60,15,60,60,60,60,4,30,60,60,15,60,15,60,60,60,60,30,60,60,30,60,60,4,60,15,60,60,60,60,60,15,60,60,30,60,60,60,60,15,4,60,30,60,30,60,60,60,60,15,60,60,15,60,60,60,60,2,60,60,60,60,60,30,60,60,15,60,30,60,60,60,60,15,4,60,60,60,60,15,60,60,30,60,60,60,60,30,60,60,15,4,15,60,60,60,60,30,60,60,60,60,30,60,60,60,60,15,4,15,60,60,30,60,60,60,60,30,60,60,15,60,60,60,60,4,15,60,60,60,60,30,60,15,60,60,30,60,60,60,60,60,2,60,60,60,60,15,60,60,15,60,60,60,60,30,60,30,60,4,15,60,60,60,60,30,60,60,15,60,60,60,60,60,15,60,4,60,60,30,60,60,30,60,60,60,60,15,60,15,60,60,30,4,60,60,60,60,15,60,60,60,60,30,60,30,60,60,15,60,4,60,60,15,60,60,30,60,60,60,60,60,30,60,60,60,60,1
10010010,1,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,7,105,105,105,15,105,105,105,105,15,105,105,105,105,105,15,105,105,105,105,7,105,105,105,105,105,7,105,105,15,105,105,105,105,105,15,105,105,105,105,105,105,105,105,7,15,105,105,105,105,105,15,105,105,105,105,105,15,105,105,105,105,105,15,105,105,7,105,105,105,105,105,105,105,15,105,105,105,7,105,105,105,105,105,15,105,15,105,7,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,7,105,15,105,15,105,105,105,105,105,7,105,105,105,15,105,105,105,105,105,105,105,7,105,105,15,105,105,105,105,105,15,105,105,105,105,105,15,105,105,105,105,105,15,7,105,105,105,105,105,105,105,105,15,105,105,105,105,105,15,105,105,7,105,105,105,105,105,7,105,105,105,105,15,105,105,105,105,105,15,105,105,105,105,15,105,105,105,7,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,1
10010011,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
10010100,1,30,30,15,30,15,15,10,5,30,30,15,30,15,15,10,5,30,30,15,30,15,15,10,5,30,30,15,6,15,15,10,30,5,15,30,3,30,10,15,30,5,15,30,15,30,10,15,30,5,15,30,15,30,10,15,6,5,15,30,15,30,10,15,30,15,5,30,15,10,30,15,30,3,5,30,15,10,30,15,30,15,5,30,15,2,30,15,30,15,5,30,15,10,30,15,15,30,30,5,10,15,15,30,15,30,30,5,10,3,15,30,15,6,30,5,10,15,15,30,15,30,30,5,10,15,15,30,30,15,15,10,5,30,30,15,30,15,15,10,5,30,6,15,30,15,3,10,5,30,30,15,30,15,15,10,5,30,30,15,15,30,10,15,30,5,15,30,15,30,2,15,30,5,15,30,15,30,10,15,30,5,3,30,15,30,10,15,30,5,15,30,15,10,30,15,30,15,5,6,15,10,30,15,30,15,5,30,15,10,30,15,30,15,5,30,15,10,30,3,30,15,5,30,10,15,15,6,15,30,30,5,10,15,15,30,15,30,30,5,10,15,15,30,15,30,30,5,10,15,15,30,15,30,30,1
10010101,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
10010110,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
10010111,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,1
10011000,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,1
