 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1001101,1,35,35,35,35,35,35,35,35,35,35,35,5,35,35,35,35,35,35,35,5,35,35,35,5,35,35,35,35,7,35,35,35,35,35,35,35,5,35,7,35,5,35,35,35,35,35,35,35,5,35,35,35,35,35,35,35,35,7,35,35,5,35,35,35,35,35,35,35,35,5,35,35,35,5,35,35,35,7,35,35,35,5,7,35,35,35,35,35,35,35,35,35,35,5,35,35,35,35,5,35,35,35,35,35,7,35,35,35,35,35,5,35,35,35,35,7,35,35,5,35,35,35,5,35,35,35,35
1001110,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1001111,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1
1010000,1,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,93,93,93,93,93,31,93,31,93,93,93,93,31,93,93,93,93,93,31,93,93,93,31,93,31,3,93,31,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,31,93,3,93,93,93,31,93,31,93,93,93,93,93,31,93,93,31,93,31,3,93,93,31,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93
1010001,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1
1010010,1,20,20,10,5,20,20,10,5,20,20,10,5,20,20,10,5,20,20,10,5,20,20,10,5,4,20,10,5,20,20,10,20,5,10,20,20,5,10,20,20,5,2,20,20,5,10,20,20,5,10,4,20,5,10,20,20,5,10,20,20,5,10,20,20,10,5,20,20,10,5,20,20,10,5,20,4,10,5,20,20,10,5,20,20,2,5,20,20,10,5,20,20,10,5,20,10,20,20,5,10,20,4,5,10,20,20,5,10,20,20,5,10,20,20,5,10,20,20,5,10,20,20,5,10,20,20,1
1010011,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1010100,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1
1010101,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1010110,1,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,15,105,105,105,7,105,105,15,105,105,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,7,15,105,105,105,105,105,15,105,105,105,7,105,105,15,105,105,105,105,105,105,105,15,105,105,105,105,105,105,7,105,15,105,105,105,105,105,105,105,105,105,15,105,105,105,105,7,105,15,105,105,105,15,105,105,7,105,105,105,105,105,15,105,105,105,105,105,15,7,105,105,105,105,105,15,105,105,105,105,105,105,105
1010111,1,42,42,21,21,42,14,21,21,42,42,7,21,14,6,21,14,21,3,42,42,21,7,42,42,21,21,14,6,7,21,42,21,14,42,21,3,42,42,7,21,42,2,21,7,42,42,21,42,7,21,42,42,21,3,14,6,21,7,42,14,21,21,42,42,21,21,14,42,7,21,6,14,3,21,42,42,21,7,42,21,42,42,7,21,2,42,21,7,42,42,3,21,42,14,21,42,21,7,6,14,21,21,42,42,7,21,42,42,3,21,14,21,6,14,21,7,42,42,21,21,14,42,21,21,42,42,1
1011000,1,62,62,31,31,62,62,31,62,31,31,62,62,31,31,62,62,31,31,62,62,31,31,62,31,62,62,31,31,62,62,31,62,31,31,62,62,31,31,62,31,62,2,31,31,62,62,31,31,62,62,31,31,62,62,31,62,31,31,62,62,31,31,62,62,31,31,62,62,31,31,62,31,62,62,31,31,62,62,31,31,62,62,31,31,2,62,31,62,31,31,62,62,31,31,62,31,62,62,31,31,62,62,31,62,31,31,62,62,31,31,62,62,31,31,62,62,31,31,62,31,62,62,31,31,62,62,1
1011001,1,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93,93,93,31,93,31,93,3,93,31,93,93,93,93,93,31,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,93,31,31,93,93,93,93,93,31,93,93,93,31,3,31,93,93,93,93,93,31,93,31,93,93,93,31,93,93,93,93,3,31,93,93,31,93,93,93,93,93,31,93,93,93,31,93,31,93,93
1011010,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,15,105,15,105,105,105,105,105,105,105,105,105,105,105,7,15,105,105,105,105,15,105,105,105,7,105,105,105,105,15,105,105,105,105,105,15,105,105,105,105,105,105,105,7,105,105,15,105,105,105,105,105,105,105,105,105,15,15,105,105,105,105,105,7,105,105,105,105,7,105,105,15,105,105,15,105,105,105,105,105,105,105,105,105,105,15,105,105,105,105,7,105,15,105,105,105,105,105,105,105,105,7,15,105,105,105,105,15,105,105,105,105,105
1011011,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1
1011100,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1011101,1,28,28,28,14,28,28,28,4,14,28,28,28,7,28,28,28,4,28,14,28,28,28,7,28,4,7,28,28,28,14,28,28,28,4,7,28,28,28,14,28,28,2,28,28,28,7,28,14,28,28,4,7,28,28,28,28,7,28,4,28,14,28,28,28,28,14,28,4,28,7,28,28,28,28,7,4,28,28,14,28,7,28,28,28,2,28,28,14,28,28,28,7,4,28,28,28,14,28,28,28,7,4,28,7,28,28,28,14,28,4,28,28,28,7,28,28,28,14,4,28,28,28,14,28,28,28,1
1011110,1,12,12,12,12,12,6,12,12,12,6,12,6,12,12,12,12,12,3,12,6,12,12,12,6,12,12,12,12,12,6,12,12,12,6,12,3,12,12,12,6,12,12,12,12,12,6,12,6,12,12,12,12,12,3,12,12,12,6,12,6,12,12,12,12,12,12,6,12,6,12,12,12,3,12,12,12,12,12,6,12,6,12,12,12,12,12,6,12,12,12,3,12,6,12,12,12,6,12,12,12,12,12,6,12,12,12,6,12,3,12,12,12,12,12,6,12,6,12,12,12,6,12,12,12,12,12,1
1011111,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1100000,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1100001,1,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,3,12,6,12,6,12,6,4,6,12,6,12,6,12,6,12,6,12,3,12,6,12,6,12,2,12,6,12,6,12,6,12,6,4,6,12,3,12,6,12,6,12,6,12,6,12,12,6,12,6,12,6,12,6,12,3,12,6,4,6,12,6,12,6,12,6,12,2,12,6,12,6,12,3,12,6,12,6,12,6,12,6,12,6,4,6,12,6,12,6,12,3,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,1
1100010,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1
1100011,1,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,105,15,105,105,105,105,105,105,15,105,105,7,105,105,105,105,105,105,105,105,15,7,105,105,105,105,105,105,105,15,105,105,105,105,105,15,105,105,105,105,7,105,15,105,105,105,105,105,105,105,15,105,105,105,105,105,105,105,105,15,7,105,105,105,105,7,105,105,105,15,105,105,105,105,105,105,15,105,105,105,15,105,105,105,105,105,105,7,105,15,105,105,105,105,105,15,105,105,7,105,105,105,15,105,105,105,105,105,105,105
1100100,1,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,2,31,62,31,62,31,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,31,62,31,62,31,2,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,1
1100101,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1100110,1,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,93,93,93,93,31,93,93,31,93,31,93,93,93,93,31,93,93,31,93,93,93,93,31,3,93,93,93,93,31,93,93,31,93,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,93,31,93,93,31,93,93,93,93,93,31,3,93,93,93,31,93,31,93,93,31,93,93,93,93,93,31,93,93,3,93,31,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93
1100111,1,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,7,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,7,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,7,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,7,14,14,7,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,1
1101000,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1
1101001,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1101010,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1101011,1,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,2,31,62,31,62,31,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,31,62,31,62,31,2,31,62,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,31,62,31,62,31,62,31,62,31,62,31,62,31,62,31,62,62,31,62,31,62,31,62,1
1101100,1,35,35,35,35,35,35,35,35,35,35,35,5,35,35,35,35,35,35,35,5,35,35,7,5,35,35,35,35,35,35,35,35,35,35,35,35,5,35,35,35,5,35,35,35,35,7,35,35,5,35,35,35,35,35,35,35,7,35,35,35,5,35,35,35,35,35,35,35,35,5,35,35,35,5,7,35,35,35,35,35,35,5,35,35,35,35,35,35,35,35,35,7,35,5,35,35,35,35,5,35,7,35,35,35,35,35,35,35,35,35,5,35,35,7,35,35,35,35,5,35,35,35,5,35,35,35,35
1101101,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
1101110,1,28,28,28,28,28,14,28,4,28,28,7,28,14,28,28,14,4,28,28,28,28,7,28,28,4,28,14,28,7,28,28,28,14,4,28,28,28,28,7,28,28,2,28,7,28,28,28,28,7,28,4,28,28,28,14,28,28,7,4,14,28,28,28,28,28,28,14,4,7,28,28,14,28,28,28,4,28,7,28,28,28,28,7,28,2,28,28,7,28,28,28,28,4,14,28,28,28,7,28,14,28,4,28,28,7,28,28,28,28,4,14,28,28,14,28,7,28,28,4,28,14,28,28,28,28,28,1
1101111,1,93,93,93,93,31,93,93,93,93,31,93,93,93,93,31,31,93,93,93,93,31,93,93,93,93,31,93,93,93,93,31,93,31,93,93,31,93,93,93,93,93,93,31,93,93,31,93,93,31,93,93,31,93,3,93,93,93,93,31,93,93,31,93,93,93,31,93,93,93,93,31,31,93,93,93,93,31,93,93,93,93,31,93,93,93,93,31,31,93,93,3,93,31,93,93,93,93,93,31,93,93,31,93,93,31,93,93,31,3,93,93,93,93,93,31,93,93,31,93,93,31,93,93,31,93,93,93
1110000,1,60,30,60,60,30,60,15,60,15,60,30,30,60,15,60,60,30,60,15,15,60,30,60,30,4,15,60,60,15,60,30,60,15,60,30,30,60,15,60,15,60,2,60,60,30,60,15,30,60,15,4,60,15,60,30,60,30,60,15,15,60,30,60,60,30,60,15,15,60,30,60,30,60,15,60,4,15,60,30,15,60,30,60,60,2,60,15,60,15,60,30,30,60,15,60,30,60,15,60,60,15,4,30,60,30,60,15,15,60,30,60,60,15,60,30,30,60,15,60,15,60,30,60,60,30,60,1
1110001,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,15,105,15,105,105,105,105,105,7,105,105,105,105,105,105,15,105,105,105,105,15,105,105,105,105,105,105,105,105,15,105,7,105,105,105,15,105,105,105,105,105,105,7,105,105,105,15,105,105,105,105,105,105,105,105,105,15,15,105,105,7,105,105,105,105,105,105,105,105,105,105,15,105,105,15,105,105,7,105,105,105,105,105,105,105,15,7,105,105,105,105,105,15,105,105,105,105,105,105,7,105,105,15,105,105,105,105,15,105,105,105,105,105
1110010,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
